Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 3.3795e-1
 0.0037, 2.8524e-1
 0.0056, 2.3144e-1
 0.0084, 1.8075e-1
 0.0126, 1.3628e-1
 0.0190, 9.7840e-2
 0.0284, 6.7286e-2
 0.0427, 4.3302e-2
 0.0640, 2.6127e-2
 0.0960, 1.4717e-2
 0.1440, 7.8244e-3
 0.2160, 4.0035e-3
 0.3240, 2.0183e-3
 0.4860, 1.0100e-3
 0.7290, 4.8459e-4
 1.0900, 2.0817e-4
 1.6400, 7.1676e-5
 2.4600, 1.8654e-5
 3.6900, 3.2595e-6
5.5400,2.8511e-7
