Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 1.7230e-1
 0.0037, 1.3946e-1
 0.0056, 1.0880e-1
 0.0084, 8.1757e-2
 0.0126, 5.9230e-2
 0.0190, 4.0797e-2
 0.0284, 2.7147e-2
 0.0427, 1.7355e-2
 0.0640, 1.0971e-2
 0.0960, 6.9705e-3
 0.1440, 4.4633e-3
 0.2160, 2.8006e-3
 0.3240, 1.6432e-3
 0.4860, 8.6143e-4
 0.7290, 3.8989e-4
 1.0900, 1.4931e-4
 1.6400, 4.5464e-5
 2.4600, 1.0831e-5
 3.6900, 1.7609e-6
5.5400,1.9867e-7
