Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 2.1867e-1
 0.0037, 1.8705e-1
 0.0056, 1.5395e-1
 0.0084, 1.2189e-1
 0.0126, 9.3111e-2
 0.0190, 6.7855e-2
 0.0284, 4.7637e-2
 0.0427, 3.1711e-2
 0.0640, 2.0224e-2
 0.0960, 1.2444e-2
 0.1440, 7.5230e-3
 0.2160, 4.5126e-3
 0.3240, 2.6471e-3
 0.4860, 1.4591e-3
 0.7290, 7.1799e-4
 1.0900, 3.0244e-4
 1.6400, 1.0162e-4
 2.4600, 2.6026e-5
 3.6900, 4.5561e-6
5.5400,4.0579e-7
