Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 2.1913e-1
 0.0037, 1.8689e-1
 0.0056, 1.5315e-1
 0.0084, 1.2040e-1
 0.0126, 9.0979e-2
 0.0190, 6.5263e-2
 0.0284, 4.4860e-2
 0.0427, 2.8966e-2
 0.0640, 1.7609e-2
 0.0960, 9.9780e-3
 0.1440, 5.2428e-3
 0.2160, 2.5292e-3
 0.3240, 1.1024e-3
 0.4860, 4.2419e-4
 0.7290, 1.3964e-4
 1.0900, 3.8018e-5
 1.6400, 7.7749e-6
 2.4600, 1.1723e-6
 3.6900, 1.1655e-7
5.5400,5.9842e-9
