Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 1.8772e-1
 0.0037, 1.5833e-1
 0.0056, 1.2906e-1
 0.0084, 1.0174e-1
 0.0126, 7.7701e-2
 0.0190, 5.6700e-2
 0.0284, 3.9829e-2
 0.0427, 2.6517e-2
 0.0640, 1.6970e-2
 0.0960, 1.0575e-2
 0.1440, 6.5656e-3
 0.2160, 4.1086e-3
 0.3240, 2.5516e-3
 0.4860, 1.5071e-3
 0.7290, 8.0488e-4
 1.0900, 3.7366e-4
 1.6400, 1.4174e-4
 2.4600, 4.2512e-5
 3.6900, 9.2006e-6
5.5400,1.1734e-6
