Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 2.0661e-1
 0.0037, 1.7204e-1
 0.0056, 1.3825e-1
 0.0084, 1.0743e-1
 0.0126, 8.0978e-2
 0.0190, 5.8439e-2
 0.0284, 4.0666e-2
 0.0427, 2.6805e-2
 0.0640, 1.6949e-2
 0.0960, 1.0424e-2
 0.1440, 6.4198e-3
 0.2160, 4.0520e-3
 0.3240, 2.6064e-3
 0.4860, 1.6355e-3
 0.7290, 9.4216e-4
 1.0900, 4.7562e-4
 1.6400, 1.9776e-4
 2.4600, 6.5817e-5
 3.6900, 1.6129e-5
5.5400,2.5070e-6
