Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 1.5013e-1
 0.0037, 1.2065e-1
 0.0056, 9.3895e-2
 0.0084, 7.0523e-2
 0.0126, 5.1022e-2
 0.0190, 3.5006e-2
 0.0284, 2.3195e-2
 0.0427, 1.4842e-2
 0.0640, 9.4964e-3
 0.0960, 6.1990e-3
 0.1440, 4.1391e-3
 0.2160, 2.7385e-3
 0.3240, 1.7040e-3
 0.4860, 9.4816e-4
 0.7290, 4.5253e-4
 1.0900, 1.8028e-4
 1.6400, 5.6040e-5
 2.4600, 1.2827e-5
 3.6900, 1.8507e-6
5.5400,3.1911e-8
