Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 7.7532e-2
 0.0037, 5.4504e-2
 0.0056, 3.6565e-2
 0.0084, 2.3346e-2
 0.0126, 1.4326e-2
 0.0190, 8.3959e-3
 0.0284, 4.8487e-3
 0.0427, 2.6939e-3
 0.0640, 1.4259e-3
 0.0960, 6.9133e-4
 0.1440, 2.9747e-4
 0.2160, 1.1037e-4
 0.3240, 3.4253e-5
 0.4860, 8.4399e-6
 0.7290, 1.5248e-6
 1.0900, 1.6470e-7
 1.6400, 1.1939e-8
 2.4600, 5.9348e-10
 3.6900, 6.7363e-12
5.5400,
