Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 4.3133e-1
 0.0037, 3.3850e-1
 0.0056, 2.5619e-1
 0.0084, 1.8668e-1
 0.0126, 1.3082e-1
 0.0190, 8.6402e-2
 0.0284, 5.4451e-2
 0.0427, 3.2374e-2
 0.0640, 1.8710e-2
 0.0960, 1.0734e-2
 0.1440, 6.2081e-3
 0.2160, 3.5846e-3
 0.3240, 2.0096e-3
 0.4860, 1.0612e-3
 0.7290, 5.1161e-4
 1.0900, 2.1826e-4
 1.6400, 7.6952e-5
 2.4600, 2.1742e-5
 3.6900, 4.4161e-6
5.5400,4.8789e-7
