Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 1.7837e-1
 0.0037, 1.4373e-1
 0.0056, 1.1126e-1
 0.0084, 8.2551e-2
 0.0126, 5.8736e-2
 0.0190, 3.9425e-2
 0.0284, 2.5277e-2
 0.0427, 1.5201e-2
 0.0640, 8.6567e-3
 0.0960, 4.6286e-3
 0.1440, 2.3016e-3
 0.2160, 1.0471e-3
 0.3240, 4.2841e-4
 0.4860, 1.5532e-4
 0.7290, 4.9108e-5
 1.0900, 1.3529e-5
 1.6400, 3.1279e-6
 2.4600, 6.0003e-7
 3.6900, 7.7788e-8
5.5400,5.6443e-9
