Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 1.3543e-1
 0.0037, 1.0322e-1
 0.0056, 7.5486e-2
 0.0084, 5.2713e-2
 0.0126, 3.5184e-2
 0.0190, 2.2138e-2
 0.0284, 1.3455e-2
 0.0427, 7.8162e-3
 0.0640, 4.3989e-3
 0.0960, 2.3598e-3
 0.1440, 1.1781e-3
 0.2160, 5.3028e-4
 0.3240, 2.0908e-4
 0.4860, 7.0264e-5
 0.7290, 1.9551e-5
 1.0900, 4.3197e-6
 1.6400, 7.0055e-7
 2.4600, 8.6127e-8
 3.6900, 8.1433e-9
5.5400,3.6297e-10
