Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 1.7462e-1
 0.0037, 1.4141e-1
 0.0056, 1.1036e-1
 0.0084, 8.2916e-2
 0.0126, 6.0059e-2
 0.0190, 4.1354e-2
 0.0284, 2.7497e-2
 0.0427, 1.7548e-2
 0.0640, 1.1063e-2
 0.0960, 7.0086e-3
 0.1440, 4.4805e-3
 0.2160, 2.8132e-3
 0.3240, 1.6568e-3
 0.4860, 8.7564e-4
 0.7290, 4.0177e-4
 1.0900, 1.5688e-4
 1.6400, 4.8965e-5
 2.4600, 1.1978e-5
 3.6900, 1.9981e-6
5.5400,2.0314e-7
