Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 8.5325e-1
 0.0037, 7.0056e-1
 0.0056, 5.4905e-1
 0.0084, 4.1177e-1
 0.0126, 2.9710e-1
 0.0190, 2.0353e-1
 0.0284, 1.3357e-1
 0.0427, 8.1799e-2
 0.0640, 4.6701e-2
 0.0960, 2.4629e-2
 0.1440, 1.2129e-2
 0.2160, 5.7439e-3
 0.3240, 2.7217e-3
 0.4860, 1.3016e-3
 0.7290, 6.0234e-4
 1.0900, 2.5187e-4
 1.6400, 8.6405e-5
 2.4600, 2.2874e-5
 3.6900, 4.1571e-6
5.5400,3.5877e-7
