Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 8.4105e-1
 0.0037, 6.8848e-1
 0.0056, 5.3792e-1
 0.0084, 4.0215e-1
 0.0126, 2.8922e-1
 0.0190, 1.9742e-1
 0.0284, 1.2906e-1
 0.0427, 7.8710e-2
 0.0640, 4.4751e-2
 0.0960, 2.3522e-2
 0.1440, 1.1577e-2
 0.2160, 5.5213e-3
 0.3240, 2.6678e-3
 0.4860, 1.3153e-3
 0.7290, 6.2962e-4
 1.0900, 2.7206e-4
 1.6400, 9.6496e-5
 2.4600, 2.6513e-5
 3.6900, 5.0882e-6
5.5400,4.9446e-7
