Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 7.5888e-1
 0.0037, 6.2671e-1
 0.0056, 4.9265e-1
 0.0084, 3.6949e-1
 0.0126, 2.6616e-1
 0.0190, 1.8217e-1
 0.0284, 1.1997e-1
 0.0427, 7.4465e-2
 0.0640, 4.3923e-2
 0.0960, 2.4749e-2
 0.1440, 1.3673e-2
 0.2160, 7.6840e-3
 0.3240, 4.5485e-3
 0.4860, 2.8549e-3
 0.7290, 1.8142e-3
 1.0900, 1.0827e-3
 1.6400, 5.5505e-4
 2.4600, 2.3285e-4
 3.6900, 7.4996e-5
5.5400,1.6392e-5
