Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 1.7955e-1
 0.0037, 1.4567e-1
 0.0056, 1.1382e-1
 0.0084, 8.5570e-2
 0.0126, 6.1993e-2
 0.0190, 4.2672e-2
 0.0284, 2.8338e-2
 0.0427, 1.8028e-2
 0.0640, 1.1297e-2
 0.0960, 7.0932e-3
 0.1440, 4.4922e-3
 0.2160, 2.7992e-3
 0.3240, 1.6373e-3
 0.4860, 8.5580e-4
 0.7290, 3.8355e-4
 1.0900, 1.4319e-4
 1.6400, 4.1237e-5
 2.4600, 8.7345e-6
 3.6900, 1.0316e-6
5.5400,4.3848e-8
