Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 2.3291e-1
 0.0037, 1.9269e-1
 0.0056, 1.5351e-1
 0.0084, 1.1812e-1
 0.0126, 8.8164e-2
 0.0190, 6.2979e-2
 0.0284, 4.3304e-2
 0.0427, 2.7990e-2
 0.0640, 1.7113e-2
 0.0960, 1.0011e-2
 0.1440, 5.8262e-3
 0.2160, 3.5065e-3
 0.3240, 2.1731e-3
 0.4860, 1.3107e-3
 0.7290, 7.1636e-4
 1.0900, 3.3732e-4
 1.6400, 1.2829e-4
 2.4600, 3.7973e-5
 3.6900, 7.9937e-6
5.5400,9.5479e-7
