Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 1.5784e-1
 0.0037, 1.2749e-1
 0.0056, 9.9514e-2
 0.0084, 7.4883e-2
 0.0126, 5.4296e-2
 0.0190, 3.7382e-2
 0.0284, 2.4865e-2
 0.0427, 1.5932e-2
 0.0640, 1.0139e-2
 0.0960, 6.5060e-3
 0.1440, 4.2077e-3
 0.2160, 2.6607e-3
 0.3240, 1.5687e-3
 0.4860, 8.2271e-4
 0.7290, 3.6879e-4
 1.0900, 1.3730e-4
 1.6400, 3.9174e-5
 2.4600, 8.1618e-6
 3.6900, 8.7430e-7
5.5400,1.5682e-8
