Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 1.7700e-1
 0.0037, 1.4349e-1
 0.0056, 1.1207e-1
 0.0084, 8.4256e-2
 0.0126, 6.1050e-2
 0.0190, 4.2041e-2
 0.0284, 2.7945e-2
 0.0427, 1.7815e-2
 0.0640, 1.1202e-2
 0.0960, 7.0647e-3
 0.1440, 4.4944e-3
 0.2160, 2.8112e-3
 0.3240, 1.6482e-3
 0.4860, 8.6114e-4
 0.7290, 3.8420e-4
 1.0900, 1.4200e-4
 1.6400, 4.0197e-5
 2.4600, 8.2855e-6
 3.6900, 9.1623e-7
5.5400,4.9087e-8
