Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 1.8475e-1
 0.0037, 1.5551e-1
 0.0056, 1.2654e-1
 0.0084, 9.9631e-2
 0.0126, 7.6074e-2
 0.0190, 5.5561e-2
 0.0284, 3.9078e-2
 0.0427, 2.6026e-2
 0.0640, 1.6627e-2
 0.0960, 1.0321e-2
 0.1440, 6.3816e-3
 0.2160, 3.9894e-3
 0.3240, 2.4895e-3
 0.4860, 1.4849e-3
 0.7290, 8.0129e-4
 1.0900, 3.7468e-4
 1.6400, 1.4233e-4
 2.4600, 4.2412e-5
 3.6900, 8.9681e-6
5.5400,1.0902e-6
