Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 2.3868e-1
 0.0037, 1.9724e-1
 0.0056, 1.5689e-1
 0.0084, 1.2049e-1
 0.0126, 8.9727e-2
 0.0190, 6.3942e-2
 0.0284, 4.3870e-2
 0.0427, 2.8301e-2
 0.0640, 1.7273e-2
 0.0960, 1.0091e-2
 0.1440, 5.8724e-3
 0.2160, 3.5469e-3
 0.3240, 2.2174e-3
 0.4860, 1.3552e-3
 0.7290, 7.5276e-4
 1.0900, 3.6105e-4
 1.6400, 1.4034e-4
 2.4600, 4.2712e-5
 3.6900, 9.3332e-6
5.5400,1.1960e-6
