Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 1.5997e-1
 0.0037, 1.2901e-1
 0.0056, 1.0048e-1
 0.0084, 7.5441e-2
 0.0126, 5.4618e-2
 0.0190, 3.7599e-2
 0.0284, 2.5039e-2
 0.0427, 1.6072e-2
 0.0640, 1.0244e-2
 0.0960, 6.5818e-3
 0.1440, 4.2613e-3
 0.2160, 2.6968e-3
 0.3240, 1.5888e-3
 0.4860, 8.2944e-4
 0.7290, 3.6793e-4
 1.0900, 1.3469e-4
 1.6400, 3.7461e-5
 2.4600, 7.4465e-6
 3.6900, 7.2125e-7
5.5400,3.7882e-9
