Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 1.7949e-1
 0.0037, 1.4563e-1
 0.0056, 1.1379e-1
 0.0084, 8.5564e-2
 0.0126, 6.1997e-2
 0.0190, 4.2682e-2
 0.0284, 2.8351e-2
 0.0427, 1.8042e-2
 0.0640, 1.1309e-2
 0.0960, 7.1019e-3
 0.1440, 4.4968e-3
 0.2160, 2.7992e-3
 0.3240, 1.6326e-3
 0.4860, 8.4804e-4
 0.7290, 3.7595e-4
 1.0900, 1.3805e-4
 1.6400, 3.8765e-5
 2.4600, 7.8855e-6
 3.6900, 8.4960e-7
5.5400,3.1374e-8
