Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 1.7475e-1
 0.0037, 1.4153e-1
 0.0056, 1.1045e-1
 0.0084, 8.2985e-2
 0.0126, 6.0108e-2
 0.0190, 4.1388e-2
 0.0284, 2.7517e-2
 0.0427, 1.7560e-2
 0.0640, 1.1069e-2
 0.0960, 7.0110e-3
 0.1440, 4.4811e-3
 0.2160, 2.8132e-3
 0.3240, 1.6567e-3
 0.4860, 8.7545e-4
 0.7290, 4.0150e-4
 1.0900, 1.5662e-4
 1.6400, 4.8794e-5
 2.4600, 1.1898e-5
 3.6900, 1.9722e-6
5.5400,1.9814e-7
