Ground Motion (g),Annual Frequency of Exceedence
 0.0025, 2.0721e-1
 0.0037, 1.7251e-1
 0.0056, 1.3858e-1
 0.0084, 1.0765e-1
 0.0126, 8.1134e-2
 0.0190, 5.8536e-2
 0.0284, 4.0723e-2
 0.0427, 2.6832e-2
 0.0640, 1.6957e-2
 0.0960, 1.0421e-2
 0.1440, 6.4133e-3
 0.2160, 4.0461e-3
 0.3240, 2.6025e-3
 0.4860, 1.6333e-3
 0.7290, 9.4103e-4
 1.0900, 4.7507e-4
 1.6400, 1.9752e-4
 2.4600, 6.5732e-5
 3.6900, 1.6106e-5
5.5400,2.5034e-6
